Gender,AgeGroup,MonthlyIncome,LoanAmount,RepaymentStatus
1,4,27,426,X
1,1,11,351,X
1,1,18,461,X
1,3,72,200,T
1,1,10,166,X
0,2,44,323,X
0,1,171,197,T
1,2,28,396,X
0,1,20,416,X
0,2,49,256,X
1,3,75,239,T
1,1,5,416,X
1,3,22,92,T
1,4,34,270,X
1,4,44,259,X
1,4,25,268,X
0,1,7,107,X
0,4,22,100,T
1,4,15,469,X
0,2,19,346,X
1,2,50,252,X
0,3,56,85,T
0,1,14,205,X
0,2,190,299,T
0,4,27,383,X
1,4,24,74,T
1,2,27,225,X
0,3,151,260,T
1,3,34,269,X
1,3,69,54,T
1,3,80,435,X
1,1,15,265,X
0,2,41,400,X
1,2,47,220,T
0,1,13,433,X
0,3,59,411,X
1,3,36,411,X
0,2,47,284,X
1,4,46,159,T
1,2,39,84,T
1,4,54,96,T
0,4,43,193,T
0,4,30,491,X
0,3,29,158,X
1,1,13,102,X
0,2,40,451,X
0,4,28,310,X
1,2,35,348,X
0,3,57,445,X
1,1,18,246,X
0,4,34,157,T
0,3,51,63,T
1,4,29,221,X
1,1,116,291,T
1,4,19,367,X
1,3,36,175,T
1,1,8,118,X
0,4,40,331,X
0,1,7,600,X
0,3,20,363,X
0,3,21,126,X
1,1,6,322,X
1,2,48,442,X
1,3,25,163,X
1,1,18,178,X
0,1,11,438,X
0,2,48,873,X
1,2,23,336,X
1,2,25,904,X
1,1,5,165,X
0,4,53,382,X
0,3,24,410,X
1,1,5,313,X
1,4,30,192,X
0,1,20,426,X
0,3,41,204,T
0,4,30,401,X
0,2,40,446,X
0,4,49,82,T
0,1,12,359,X
1,4,54,125,T
0,2,31,59,T
1,2,28,326,X
0,4,60,451,X
0,2,29,151,X
0,1,12,454,X
0,2,44,148,T
0,3,77,386,X
0,2,25,79,T
1,3,54,451,X
0,3,43,462,X
0,3,59,308,X
1,3,36,107,T
0,4,169,87,T
0,1,18,227,X
0,4,60,317,X
1,3,69,921,X
1,1,7,355,X
0,4,33,291,X
1,2,39,379,X
0,4,32,121,T
1,2,42,94,T
1,3,37,293,X
0,2,22,429,X
0,1,19,88,T
1,2,16,65,T
1,2,35,66,T
0,2,42,453,X
0,2,38,461,X
1,3,27,470,X
0,1,11,482,X
1,4,39,338,X
1,2,46,485,X
0,4,28,436,X
0,1,11,82,X
0,3,45,226,X
1,1,13,222,X
0,1,18,65,T
1,3,49,88,T
1,1,12,396,X
1,3,35,93,T
0,1,19,363,X
0,3,52,103,T
1,3,43,211,T
0,3,21,88,T
0,3,58,107,T
0,1,15,380,X
1,4,25,428,X
0,2,37,169,T
0,2,33,225,X
1,3,58,187,T
0,3,47,223,T
0,2,26,134,X
0,2,15,435,X
0,3,69,159,T
1,1,9,58,X
0,4,30,424,X
1,2,24,372,X
0,1,5,386,X
0,2,30,370,X
1,2,15,118,X
1,4,31,85,T
1,3,140,447,T
1,2,41,171,T
1,1,10,349,X
0,4,24,319,X
0,1,14,277,X
0,1,15,210,X
1,2,24,484,X
0,3,42,346,X
1,1,7,185,X
1,2,30,393,X
0,4,39,169,T
1,3,67,64,T
0,2,20,335,X
1,1,11,130,X
1,2,40,199,T
0,4,21,315,X
1,4,45,199,T
0,2,29,490,X
1,2,22,227,X
0,4,58,535,X
0,3,21,448,X
0,4,28,150,X
1,1,18,429,X
1,3,56,100,T
0,2,37,297,X
1,3,132,443,T
1,4,34,250,X
1,1,18,297,X
1,1,6,444,X
0,1,17,249,X
0,4,26,364,X
0,4,20,631,X
1,3,53,280,X
1,1,20,403,X
1,4,54,151,T
0,1,7,199,X
1,4,48,61,T
1,3,35,118,T
0,2,48,69,T
1,3,72,176,T
1,4,41,242,X
0,1,16,252,X
1,2,20,207,X
0,2,24,408,X
0,4,126,80,T
1,4,44,170,T
0,4,146,163,T
1,4,56,165,T
1,4,58,332,X
0,3,39,164,T
1,2,41,409,X
0,3,49,471,X
0,2,39,146,T
0,1,20,100,T
1,1,7,478,X
1,3,74,267,T
1,4,49,491,X
0,2,41,401,X
1,1,16,133,X
1,4,43,479,X
1,1,134,237,T
0,3,80,371,T
1,2,45,94,T
1,4,26,390,X
1,2,46,187,T
1,1,9,221,X
0,1,7,164,X
0,4,36,357,X
1,3,61,133,T
0,3,29,209,X
0,3,75,460,X
0,1,8,77,X
0,4,24,86,T
1,4,52,442,X
1,3,79,423,X
0,2,48,62,T
1,3,21,331,X
1,1,20,278,X
0,1,129,488,T
1,4,59,174,T
0,3,36,55,T
0,3,49,373,X
0,1,14,383,X
1,3,23,392,X
1,1,10,60,X
1,4,21,266,X
0,1,15,399,X
1,4,51,918,X
1,1,5,86,X
0,1,14,475,X
0,4,35,104,T
0,4,32,99,T
1,2,49,109,T
0,2,40,99,T
0,1,20,413,X
0,1,13,392,X
0,1,16,67,T
0,1,6,88,X
0,4,60,640,X
1,3,26,425,X
1,1,6,74,X
1,3,20,181,X
1,4,57,357,X
0,2,20,751,X
1,2,27,187,X
0,4,143,382,T
1,3,25,316,X
1,3,22,424,X
1,2,33,427,X
0,1,15,354,X
0,2,44,136,T
1,3,55,305,X
0,3,39,280,X
1,4,26,177,X
0,4,42,194,T
1,4,48,299,X
1,3,38,89,T
0,4,25,424,X
0,1,20,78,T
1,4,46,326,X
1,4,44,159,T
0,1,7,323,X
1,2,37,407,X
1,3,63,437,X
1,1,7,479,X
1,3,71,94,T
1,4,22,438,X
0,1,174,497,T
0,1,20,251,X
0,3,58,499,X
0,4,37,103,T
1,1,5,178,X
0,4,36,172,T
1,2,36,309,X
1,3,45,262,X
1,3,37,246,X
0,1,13,246,X
1,3,62,250,T
1,2,49,284,X
1,4,102,54,T
1,4,24,179,X
1,2,23,219,X
0,3,21,147,X
0,4,55,912,X
0,1,14,114,X
1,1,12,211,X
0,3,69,160,T
1,1,7,397,X
1,1,19,470,X
1,4,37,477,X
1,4,36,275,X
0,2,29,389,X
0,4,44,500,X
0,1,17,451,X
0,4,25,181,X
1,4,30,473,X
1,2,17,482,X
1,3,64,132,T
0,2,15,199,X
1,4,15,74,T
1,3,48,303,X
0,3,21,153,X
0,3,40,137,T
0,2,18,490,X
1,3,60,470,X
1,1,120,443,T
1,1,8,497,X
0,4,46,140,T
0,3,37,239,X
0,2,50,278,X
0,4,40,409,X
0,2,23,251,X
1,2,19,308,X
1,3,78,486,X
1,3,62,494,X
0,2,30,643,X
0,1,10,343,X
1,2,49,238,T
0,4,48,383,X
0,1,18,201,X
1,3,27,251,X
1,4,40,185,T
1,1,16,59,T
0,2,19,265,X
0,3,62,282,T
0,3,51,495,X
1,1,15,425,X
1,4,28,154,X
0,1,7,138,X
1,3,49,205,T
0,3,46,339,X
1,1,12,95,X
1,3,48,422,X
1,3,49,487,X
1,3,73,446,X
1,4,24,431,X
0,3,23,221,X
1,1,16,117,X
0,4,37,249,X
0,3,76,351,T
1,1,5,107,X
0,1,8,258,X
1,2,27,198,X
1,2,26,78,T
1,4,48,477,X
1,1,8,421,X
0,3,49,200,T
1,4,36,297,X
0,2,33,401,X
0,1,11,479,X
1,2,31,405,X
1,1,11,80,X
1,3,38,110,T
0,2,148,210,T
1,3,75,83,T
0,1,8,108,X
1,1,9,298,X
1,4,41,391,X
1,3,28,495,X
1,3,31,76,T
0,4,33,243,X
1,3,59,261,T
1,3,40,230,X
0,4,40,289,X
0,3,173,356,T
1,1,7,111,X
1,1,16,273,X
0,4,50,99,T
1,4,19,389,X
0,4,38,987,X
1,3,28,94,T
0,4,42,492,X
1,3,70,407,X
1,4,39,433,X
0,4,34,400,X
1,4,40,328,X
1,2,26,467,X
1,2,18,476,X
0,3,26,317,X
0,1,184,413,T
1,2,15,460,X
0,4,55,355,X
1,4,27,530,X
1,2,19,359,X
1,3,48,414,X
0,3,52,196,T
0,2,41,465,X
0,2,48,364,X
0,2,31,315,X
1,4,43,277,X
0,1,5,473,X
1,4,59,210,T
1,2,38,373,X
1,1,8,401,X
0,1,12,432,X
0,2,43,375,X
0,4,15,264,X
1,3,58,286,T
1,1,9,309,X
1,1,12,944,X
0,2,23,472,X
1,1,15,282,X
1,3,75,491,X
1,3,49,491,X
1,2,18,477,X
1,3,66,424,X
0,1,8,326,X
0,3,37,367,X
1,3,24,81,T
1,2,20,368,X
1,4,24,493,X
0,1,18,430,X
0,4,24,446,X
1,4,19,488,X
0,2,44,193,T
1,1,14,403,X
1,3,25,813,X
0,2,28,436,X
0,3,29,307,X
0,4,48,316,X
1,4,19,111,X
1,2,35,50,T
1,4,53,233,T
1,2,32,208,X
1,4,56,244,T
1,2,130,148,T
1,4,15,193,X
1,2,32,281,X
0,2,40,320,X
0,2,163,50,T
0,1,10,490,X
0,4,56,158,T
0,1,8,54,X
1,4,49,364,X
0,4,60,660,X
0,3,79,93,T
0,1,6,286,X
0,1,14,337,X
0,3,21,130,X
1,4,32,367,X
0,4,45,404,X
1,1,5,491,X
0,1,6,403,X
1,4,60,204,T
0,2,42,429,X
0,3,44,473,X
0,4,45,50,T
0,2,45,173,T
1,2,38,103,T
1,4,51,136,T
1,2,198,314,T
1,3,41,265,X
1,1,11,462,X
1,1,11,300,X
1,3,45,467,X
1,3,40,315,X
0,2,47,346,X
1,4,58,399,X
1,3,77,442,X
0,1,18,75,T
1,1,8,310,X
1,3,27,359,X
1,4,25,279,X
1,3,33,408,X
0,2,15,158,X
0,2,22,51,T
1,3,63,187,T
1,4,46,293,X
0,3,72,394,X
0,4,38,161,T
1,2,20,316,X
1,3,34,295,X
0,1,16,290,X
0,4,21,233,X
1,1,10,414,X
1,2,49,214,T
0,1,11,434,X
1,2,15,285,X
0,1,19,160,X
1,4,55,248,T
1,2,45,349,X
1,2,27,154,X
1,4,47,310,X
1,3,58,248,T
0,3,65,454,X
0,1,182,459,T
1,1,20,238,X
1,4,47,233,T
0,2,166,354,T
0,1,8,432,X
1,4,44,459,X
0,1,18,368,X
1,3,57,371,X
1,4,56,151,T
1,4,40,404,X
1,3,59,225,T
1,1,20,159,X
1,3,56,234,T
1,3,66,482,X
0,4,19,459,X
1,4,56,484,X
1,2,18,408,X
1,2,30,282,X
1,1,6,159,X
1,3,27,509,X
1,1,8,120,X
0,3,69,264,T
0,4,45,80,T
1,2,50,265,X
1,2,39,180,T
0,3,40,235,X
0,2,19,300,X
1,4,18,359,X
0,4,54,172,T
1,2,42,259,X
1,4,106,365,T
1,4,35,162,T
0,4,50,110,T
0,2,15,297,X
1,2,47,428,X
1,1,15,161,X
1,3,24,478,X
0,2,38,340,X
1,2,48,84,T
1,2,28,292,X
0,1,16,377,X
1,1,175,444,T
0,1,6,185,X
0,4,26,140,X
0,4,34,311,X
0,1,18,191,X
1,4,17,450,X
0,2,48,256,X
1,4,39,68,T
1,2,29,67,T
1,4,54,466,X
0,1,16,76,T
1,1,11,489,X
0,1,13,439,X
0,2,33,67,T
0,2,24,70,T
0,2,38,383,X
0,4,60,91,T
0,4,32,179,X
1,3,28,296,X
0,4,54,301,X
1,1,18,411,X
1,3,40,313,X
0,3,35,275,X
